irn,name,county,fiscal_year,unrestricted_aid,restricted_aid,property_tax,income_tax,property_tax_allocation,total_revenue,total_revenue_and_sources,total_expenditure,beginning_cash,ending_cash
050880,Butler Technology & Career Development Schools,Butler,2021,19968424,10602744,19076853,0,2213036,52764279,53140312,52855372,20168950,20453890
050880,Butler Technology & Career Development Schools,Butler,2022,21239147,12101442,20157699,0,2399572,56286949,56290519,54933420,20453890,21810989
050880,Butler Technology & Career Development Schools,Butler,2023,23322488,12708283,20716894,0,2433738,59898128,60166068,59136874,21810992,22840186
050880,Butler Technology & Career Development Schools,Butler,2024,26460341,14411875,24099061,0,2875779,69215754,69280653,68730319,22840186,23390520
050880,Butler Technology & Career Development Schools,Butler,2025,28683296,15181416,27569137,0,3319805,76501062,76512693,75786312,23390520,24116901
050906,Columbiana County,Columbiana,2020,2850016,701703,2028375,0,311979,6799490,6809268,6746199,3424100,3487169
050906,Columbiana County,Columbiana,2021,2855114,701703,2160381,0,321387,7241182,7276943,6995022,3487169,3769090
050906,Columbiana County,Columbiana,2022,3339093,977363,2174342,0,321736,7661994,7663200,7203432,3769090,4228858
050906,Columbiana County,Columbiana,2023,3223209,1035496,2482658,0,343537,7887615,7889843,8160181,4228856,3958518
050906,Columbiana County,Columbiana,2024,3237863,1174044,2595714,0,370069,8096648,8099034,7835461,3958518,4222091
050906,Columbiana County,Columbiana,2025,3264830,1232118,2683086,0,375726,8666878,8667119,10576312,4222091,2312898
050922,Cuyahoga Valley Career Center,Cuyahoga,2020,1604493,113457,11176854,0,1370317,15485201,15993309,16264001,16068925,15798233
050922,Cuyahoga Valley Career Center,Cuyahoga,2021,1620264,113457,11376332,0,1400611,15590417,16048808,13512123,15798233,18334918
050922,Cuyahoga Valley Career Center,Cuyahoga,2022,1741436,291547,12196252,0,1482379,16719240,17127010,15385786,18334918,20076142
050922,Cuyahoga Valley Career Center,Cuyahoga,2023,1708516,341133,12663667,0,1531648,17556994,17765516,17928878,20076140,19912779
050922,Cuyahoga Valley Career Center,Cuyahoga,2024,1536085,629352,13541616,0,1630954,19089521,19338233,19509446,19912779,19741566
050922,Cuyahoga Valley Career Center,Cuyahoga,2025,1482450,1258200,14872247,0,1830243,21760123,21917173,20717788,19741566,20940950
050948,Polaris,Cuyahoga,2020,1805011,1065352,9407374,0,1184229,14584545,14639953,14321441,9197449,9515970
050948,Polaris,Cuyahoga,2021,1818643,1066690,9326568,0,1170891,14388376,14388349,13657322,9515970,10246992
